Name,Land,Kontinent,Adresse,Kategorie,Gewicht,Notiz,Geocoordinates,Elevation,Formatted Address
Liese Prokop Privatschule,Österreich,Europa,"Liese Prokop-Platz 2, 2344 Maria Enzersdorf",Partnerschule,1,,"48.0986966,16.3112577",197.5682983,"Liese Prokop-Platz 2, 2344 Maria Enzersdorf, Austria"
"Lise Meitner RG ""Schottenbastei""",Österreich,Europa,"Schottenbastei 7-9, 1010 Wien",Partnerschule,1,,"48.2141643,16.3647431",174.1691895,"Schottenbastei 7-9, 1010 Wien, Austria"
Polgargymnasium ,Österreich,Europa,"Polgarstraße 24, 1220 Wien-Donaustadt",Partnerschule,1,,"48.2333832,16.4534962",160.0947571,"Polgarstraße 24, 1220 Wien, Austria"
Privates Gymnasium Sacre Coeur Wien,Österreich,Europa,"Rennweg 31, 1030 Wien",Partnerschule,1,,"48.1953957,16.3845105",176.1108246,"Rennweg 31, 1030 Wien, Austria"
Schulverein Institut Sta.Christiana (Fachschule und Aufbaulehrgang für wirtschaftliche Berufe),Österreich,Europa,"Willergasse 55, 1230 Wien",Partnerschule,1,,"48.131631,16.2551461",273.9992065,"Willergasse 55, 1230 Wien, Austria"
Sperlgymnasium,Österreich,Europa,"Kleine Sperlgasse 2C, 1020 Wien",Partnerschule,1,,"48.2158842,16.3780411",163.3234711,"Kleine Sperlgasse 2C, 1020 Wien, Austria"
Tourismusschule Wien 21,Österreich,Europa,"Wassermanngasse 12, 1210 Wien",Partnerschule,1,,"48.2678251,16.4529576",161.7579651,"Wassermanngasse 12, 1210 Wien, Austria"
Wiedner Gymnasium,Österreich,Europa,"Wiedner Gürtel 68, 1040 Wien",Partnerschule,1,,"48.1846386,16.3686679",199.4304962,"Wiedner Gürtel 68, 1040 Wien, Austria"
AR ITBA - INSTITUTO TECNOLOGICO DE BUENOS AIRES FUNDACION,Argentinien,Südamerika,"Av. Eduardo Madero 399, C1106ACD CABA, Argentinien",Partneruni,1,,"-34.6031933,-58.36778529999999",14.0114212,"Av. Eduardo Madero 399, C1106ACD CABA, Argentina"
AR UNS - Universidad Nacional del Sur,Argentinien,Südamerika,"Av. Alem 1253, B8000 Bahía Blanca, Buenos Aires, Argentinien",Partneruni,1,,"-38.701727,-62.27019600000001",29.81297302,"Av. Alem 1253, B8000 Bahía Blanca, Buenos Aires, Argentina"
BGENT25 - HOGESCHOOL GENT,Belgien,Europa,"Geraard de Duivelstraat 5, 9000 Gent, Belgien",Partneruni,1,,"51.052522,3.728285",8.784412384,"Geraard de Duivelstraat 5, 9000 Gent, Belgium"
BR FURB - The University of Blumenau,Brasilien,Südamerika,Fundação Universidade Regional de Blumenau FURB,Partneruni,1,,"-26.9056913,-49.0790634",29.9444313,"R. Antônio da Veiga, 140 - Itoupava Seca, Blumenau - SC, 89030-903, Brazil"
BR UNESP - Sao Paulo State University,Brasilien,Südamerika,"R. Quirino de Andrade, 215 - Centro Histórico de São Paulo, São Paulo - SP, 01049-010, Brasilien",Partneruni,1,,"-23.5479195,-46.6409507",772.8094482,"R. Quirino de Andrade, 215 - Centro Histórico de São Paulo, São Paulo - SP, 01049-010, Brazil"
"BG ROUSSE01 - RUSENSKI UNIVERSITET ""ANGEL KANCHEV""",Bulgarien,Europa,"ul. ""Studentska"" 8, 7017 Studentski grad, Ruse, Bulgarien",Partneruni,1,,"43.854554,25.970175",49.82335281,"ul. ""Studentska"" 8, 7017 Studentski grad, Ruse, Bulgaria"
BG SOFIA16 - TEHNICHESKI UNIVERSITET SOFIA,Bulgarien,Europa,"bulevard ""Sveti Kliment Ohridski"" 8, 1756 Studentski Kompleks, Sofia, Bulgarien",Partneruni,1,,"42.6550616,23.3585246",593.6391602,"bulevard ""Sveti Kliment Ohridski"" 8, 1756 Studentski Kompleks, Sofia, Bulgaria"
CN YICHANG - China Three Gorges University,China,Asien,"8 Daxue Rd, Xiling Qu, Yichang Shi, Hubei Sheng, China",Partneruni,1,,"30.715569,111.311667",120.0848007,"8 Daxue Rd, Xiling Qu, Yichang Shi, Hubei Sheng, China, 443101"
CHN HUBEI - Hubei University of Technology,China,Asien,"1 Huangjiahu W Rd, Hongshan Qu, Wuhan Shi, Hubei Sheng, China",Partneruni,1,,"30.4482999,114.266181",30.33603287,"1 Huangjiahu W Rd, Hongshan Qu, Wuhan Shi, Hubei Sheng, China, 430156"
DK ARHUS28 - Aarhus Maskinmesterskole,Dänemark,Europa,"Inge Lehmanns Gade 10, 8000 Aarhus C, Dänemark",Partneruni,1,,"56.1586902,10.2155391",2.495439529,"Inge Lehmanns Gade 10, 8000 Aarhus C, Denmark"
DK ODENSE01 - SYDDANSK UNIVERSITET,Dänemark,Europa,"Campusvej 55, 5230 Odense, Dänemark",Partneruni,1,,"55.368982,10.4282364",24.07545853,"Campusvej 55, 5230 Odense, Denmark"
DE BERLIN04 - TECHNISCHE FACHHOCHSCHULE BERLIN BEUTH,Deutschland,Europa,"Luxemburger Str. 10, 13353 Berlin, Deutschland",Partneruni,1,,"52.5442992,13.352809",37.98970795,"Luxemburger Str. 10, 13353 Berlin, Germany"
DDORTMUN02 - FACHHOCHSCHULE DORTMUND,Deutschland,Europa,"Sonnenstraße 96, 44139 Dortmund, Deutschland",Partneruni,1,,"51.5056431,7.457477699999999",106.7544632,"Sonnenstraße 96, 44139 Dortmund, Germany"
DE JENA01 - FRIEDRICH-SCHILLER-UNIVERSITAET JENA,Deutschland,Europa,"Fürstengraben 1, 07743 Jena, Deutschland",Partneruni,1,,"50.929274,11.5900592",145.6287994,"Fürstengraben 1, 07743 Jena, Germany"
DE DUSSELD03 - FACHHOCHSCHULE DUESSELDORF,Deutschland,Europa,"Geschwister-Aufricht-Straße 9, 40489 Düsseldorf, Deutschland",Partneruni,1,,"51.2991618,6.7480723",39.28841019,"Geschwister-Aufricht-Straße 9, 40489 Düsseldorf, Germany"
"DBERLIN14 - Hochschule für Technik und Wirtschaft Berlin, HTW Berlin",Deutschland,Europa,"Treskowallee 8, 10318 Berlin, Deutschland",Partneruni,1,,"52.49222,13.5264999",38.0953064,"Treskowallee 8, 10318 Berlin, Germany"
DE KAISERS02 - FACHHOCHSCHULE KAISERSLAUTERN,Deutschland,Europa,"Campus Kammgarn, Schoenstraße 6, 67659 Kaiserslautern, Deutschland",Partneruni,1,,"49.4469475,7.7583127",233.3117981,"Campus Kammgarn, Schoenstraße 6, 67659 Kaiserslautern, Germany"
DE ULM02 - Technische Hochschule Ulm,Deutschland,Europa,"Prittwitzstraße 10, 89075 Ulm, Deutschland",Partneruni,1,,"48.40885000000001,9.997489999999999",496.6210022,"Prittwitzstraße 10, 89075 Ulm, Germany"
DE REGENSB02 - Fachhochschule Regensburg,Deutschland,Europa,"Seybothstraße 2, 93053 Regensburg, Deutschland",Partneruni,1,,"49.0033713,12.0950033",366.1622009,"Seybothstraße 2, 93053 Regensburg, Germany"
DE HANNOVE05 - FACHHOCHSCHULE HANNOVER,Deutschland,Europa,"Ricklinger Stadtweg 120, 30459 Hannover, Deutschland",Partneruni,1,,"52.3544429,9.723168099999999",54.44924545,"Ricklinger Stadtweg 120, 30459 Hannover, Germany"
DE SCHMALK01 - FACHHOCHSCHULE SCHMALKALDEN,Deutschland,Europa,"Blechhammer 9, 98574 Schmalkalden, Deutschland",Partneruni,1,,"50.717416,10.463766",308.7037964,"Blechhammer 9, 98574 Schmalkalden, Germany"
DJENA02 - FACHHOCHSCHULE JENA,Deutschland,Europa,"Ernst-Abbe-Hochschule Jena University of Applied Sciences, Carl-Zeiß-Promenade 2, 07745 Jena, Deutschland",Partneruni,1,,"50.91829,11.56868",196.4627838,"Ernst-Abbe-Hochschule Jena University of Applied Sciences, Carl-Zeiß-Promenade 2, 07745 Jena, Germany"
D KOLN 04 - Technische Hochschule Köln,Deutschland,Europa,"Ubierring 40, 50678 Köln, Deutschland",Partneruni,1,,"50.9214682,6.962965899999999",50.21766281,"Ubierring 40, 50678 Köln, Germany"
D REGENSB02 - Ostbayrische Technische Hochschule Regensburg,Deutschland,Europa,"Seybothstraße 2, 93053 Regensburg, Deutschland",Partneruni,1,,"49.0033713,12.0950033",366.1622009,"Seybothstraße 2, 93053 Regensburg, Germany"
EE TALLINN04 - TALLINNA TEHNIKAÜLIKOOL,Estland,Europa,"Ehitajate tee 5, 12616 Tallinn, Estland",Partneruni,1,,"59.394226,24.6702599",31.77799416,"Ehitajate tee 5, 12616 Tallinn, Estonia"
SF HAMEENL09 - HAMEEN AMMATTIKORKEAKOULU,Finnland,Europa,"Vankanlähde 9, 13100 Hämeenlinna, Finnland",Partneruni,1,,"60.9758187,24.4803362",82.26763153,"Vankanlähde 9, 13100 Hämeenlinna, Finland"
ROVANIE11 - Lapland University of Applied Sciences,Finnland,Europa,"Jokiväylä 11, 96300 Rovaniemi, Finnland",Partneruni,1,,"66.4814313,25.7241388",77.23329163,"Jokiväylä 11, 96300 Rovaniemi, Finland"
VAASA13 - Novia University of Applied Sciences,Finnland,Europa,"Wolffintie 33, 65200 Vaasa, Finnland",Partneruni,1,,"63.10543699999999,21.5958961",9.65049839,"Wolffintie 33, 65200 Vaasa, Finland"
FI TURKU05 - TURUN AMMATTIKORKEAKOULU - ÅBO YRKESHÖGSKOLA,Finnland,Europa,"Joukahaisenkatu 3, 20520 Turku, Finnland",Partneruni,1,,"60.44882500000001,22.2966101",22.09109497,"Joukahaisenkatu 3, 20520 Turku, Finland"
FI VAASA03 - VAASAN AMMATTIKORKEAKOULU - VASA YRKESHÖGSKOLA,Finnland,Europa,"Wolffintie 30, 65200 Vaasa, Finnland",Partneruni,1,,"63.1068864,21.5917039",10.31434727,"Wolffintie 30, 65200 Vaasa, Finland"
FCHAMBER01 - Université Savoie Mont Blanc,Frankreich,Europa,"27 Rue Marcoz, 73000 Chambéry, Frankreich",Partneruni,1,,"45.56677579999999,5.917622",272.2643433,"27 Rue Marcoz, 73000 Chambéry, France"
FLILLE11 - Université Catholique de Lille,Frankreich,Europa,"60 Boulevard Vauban, 59800 Lille, Frankreich",Partneruni,1,,"50.6331207,3.0464865",20.87272835,"Hôtel Académique, 60 Boulevard Vauban, 59800 Lille, France"
FR PAU01 - UNIVERSITE DE PAU ET DES PAYS DE L'ADOUR,Frankreich,Europa,"Avenue de l'Université, 64012 Pau, Frankreich",Partneruni,1,,"43.3113349,-0.3644866",211.4895325,"Avenue de l'Université, 64000 Pau, France"
GRKAVALA01 - TECHNOLOGICO EKPAIDEYTIKO IDRYMA TEI KAVALAS,Griechenland,Europa,"Αγ. Λουκάς, Kavala 654 04, Griechenland",Partneruni,1,,"40.92931859999999,24.3790305",134.044342,"Αγ. Λουκάς, Καβάλα 654 04, Greece"
GRKRITIS04 - TECHNOLOGIKO EKPAIDEUTIKO IDRIMA KRITIS,Griechenland,Europa,"Εσταυρωμένος, Iraklio 714 10, Griechenland",Partneruni,1,,"35.3193759,25.1024391",59.37255859,"Εσταυρωμένος, Iraklio 714 10, Greece"
UK LOUGHBO01 - LOUGHBOROUGH UNIVERSITY,Vereinigtes Königreich,Europa,"Epinal Way, Loughborough LE11 3TU, Vereinigtes Königreich",Partneruni,1,,"52.7679306,-1.2227527",44.73973083,"Epinal Way, Loughborough LE11, UK"
IR WATERFO01 - WATERFORD INSTITUTE OF TECHNOLOGY,Irland,Europa,"Cork Rd, Waterford, Irland",Partneruni,1,,"52.2463286,-7.143171499999999",21.99942207,"Cork Rd, Waterford, Ireland"
IS REYKJAV05 - Háskólinn í Reykjavík,Island,Europa,"Menntavegur 1, 101 Reykjavík, Island",Partneruni,1,,"64.1237262,-21.9254355",12.745965,"Háskólinn í Reykjavík, Menntavegur 1, 101 Reykjavík, Iceland"
ITTORINO02 - POLITECNICO DI TORINO,Italien,Europa,"Corso Duca degli Abruzzi, 24, 10129 Torino TO, Italien",Partneruni,1,,"45.0629419,7.6610682",249.1430054,"Corso Duca degli Abruzzi, 24, 10129 Torino TO, Italy"
IT BERGAMO01 - UNIVERSITA' DEGLI STUDI DI BERGAMO,Italien,Europa,"Piazzale S. Agostino, 1, 24129 Bergamo BG, Italien",Partneruni,1,,"45.7048855,9.6712767",310.341156,"Piazzale S. Agostino, 1, 24129 Bergamo BG, Italy"
IT ROMA21 - UNIVERSITÀ TELEMATICA “GUGLIELMO MARCONI”,Italien,Europa,"Via Pisa, 53, 76125 Trani BT, Italien",Partneruni,1,,"41.2625613,16.4387294",17.25606918,"Via Pisa, 53, 76125 Trani BT, Italy"
IT PERUGIA01 - UNIVERSITA' DEGLI STUDI DI PERUGIA,Italien,Europa,"Via del Giochetto, 2, 06122 Perugia PG, Italien",Partneruni,1,,"43.1144287,12.403902",430.1567993,"Via del Giochetto, 2, 06134 Perugia PG, Italy"
KOR1 - Korea University,Korea,Asien,"145 Anam-ro, Anam-dong, Seongbuk-gu, Seoul, Südkorea",Partneruni,1,,"37.5900117,127.0318586",55.49455643,"145 Anam-ro, Anam-dong, Seongbuk-gu, Seoul, South Korea"
KR UNIST - Ulsan National Institute of Science and Technology,Korea,Asien,"50 UNIST-gil, Eonyang-eup, Ulju-gun, Ulsan, Südkorea",Partneruni,1,,"35.5763317,129.189255",31.69011497,"50 UNIST-gil, Eonyang-eup, Ulju-gun, Ulsan, South Korea"
KRKor2 - Inha University,Korea,Asien,"100 Inha-ro, Yonghyeon 1(il).4(sa)-dong, Nam-gu, Incheon, Südkorea",Partneruni,1,,"37.4500221,126.653488",19.15410233,"100 Inha-ro, Yonghyeon 1(il).4(sa)-dong, Nam-gu, Incheon, South Korea"
Kor3 - Konkuk University,Korea,Asien,"120 Neungdong-ro, Jayang-dong, Gwangjin-gu, Seoul, Südkorea",Partneruni,1,,"37.5419717,127.0767285",23.69937897,"120 Neungdong-ro, Hwayang-dong, Gwangjin-gu, Seoul, South Korea"
Kor4 - University of Incheon,Korea,Asien,"119 Academy-ro, Songdo 1(il)-dong, Yeonsu-gu, Incheon, Südkorea",Partneruni,1,,"37.3750548,126.6328998",-4.820545673,"119 Academy-ro, Songdo 1(il)-dong, Yeonsu-gu, Incheon, South Korea"
HR ZAGREB05 - TEHNICKO VELEUCILISTE U ZAGREBU,Kroatien,Europa,"Avenija Većeslava Holjevca 15, 10010, Zagreb, Kroatien",Partneruni,1,,"45.7728664,15.9822593",114.6636353,"Avenija Većeslava Holjevca 15, 10000, Zagreb, Croatia"
LT VILNIUS10 - VILNIAUS KOLEGIJA,Litauen,Europa,"Saltoniškių g. 58, Vilnius 08105, Litauen",Partneruni,1,,"54.6961413,25.2569033",102.9987335,"Saltoniškių g. 58, Vilnius 08105, Lithuania"
MT MALTA01 - UNIVERSITA' TA'MALTA,Malta,Europa,"Msida MSD 2080, Malta",Partneruni,1,,"35.90232,14.4847432",41.40929794,"Msida, MSD 2080, Malta"
MN MUST - Mongolian University of Science and Technology,Mongolei,Asien,"Baga Toiruu 34, Sukhbaatar 14191, Mongolei",Partneruni,1,,"47.9220461,106.9243809",1305.038696,"8, Baga Toiruu 34, Sukhbaatar 14191, Mongolia"
NL EINDHOV03 - FONTYS HOGESCHOLEN,Niederlande,Europa,"Dominee Theodor Fliednerstraat 2, 5631 BN Eindhoven, Niederlande",Partneruni,1,,"51.4536183,5.4906064",17.25092125,"Dominee Theodor Fliednerstraat 2, 5631 BN Eindhoven, Netherlands"
NL SGRAVE13 - The Hague University of Applied Sciences,Niederlande,Europa,"Johanna Westerdijkplein 75, 2521 EN Den Haag, Niederlande",Partneruni,1,,"52.0670747,4.323974",1.909068704,"Johanna Westerdijkplein 75, 2521 EN Den Haag, Netherlands"
PL LUBLIN03 - POLITECHNIKA LUBELSKA,Polen,Europa,"Nadbystrzycka 38D, 20-618 Lublin, Polen",Partneruni,1,,"51.2356,22.5502498",185.5827942,"Nadbystrzycka 38D, 20-618 Lublin, Poland"
KRAKOW02 - The AGH University of Science and Technology Krakau,Polen,Europa,"aleja Adama Mickiewicza 30, 30-059 Kraków, Polen",Partneruni,1,,"50.0645191,19.9236397",206.3901978,"aleja Adama Mickiewicza 30, 33-332 Kraków, Poland"
PT LISBOA109 - Universidade de Lisboa,Portugal,Europa,"Cidade Universitária, Alameda da Universidade, 1649-004 Lisboa, Portugal",Partneruni,1,,"38.7526897,-9.1581558",89.34986115,"Alameda da Universidade, 1649-004 Lisboa, Portugal"
PT VILA-RE01 - Universidade de Tras-os-Montes e Alto Douro,Portugal,Europa,"Quinta de Prados, 5001-801 Vila Real, Portugal",Partneruni,1,,"41.28738,-7.7389388",450.3946838,"Quinta de Prados, 5001-801 Vila Real, Portugal"
RO CLUJNAP05 - UNIVERSITATEA TEHNICA DIN CLUJ-NAPOCA,Rumänien,Europa,"Strada Memorandumului 28, Cluj-Napoca 400114, Rumänien",Partneruni,1,,"46.769299,23.585613",350.2715759,"Strada Memorandumului 28, Cluj-Napoca 400000, Romania"
"RO TIMISOA04 - UNIVERSITATEA ""POLITEHNICA"" DIN TIMISOARA",Rumänien,Europa,"Piața Victoriei 2, Timișoara 300006, Rumänien",Partneruni,1,,"45.7536332,21.2250684",95.15900421,"Palatul Lloyd, Piața Victoriei 2, Timișoara 300006, Romania"
"RO BRASOV01 - Universitatea ""Transilvania"" din Brasov",Rumänien,Europa,"Bulevardul Eroilor 29, Brașov 500036, Rumänien",Partneruni,1,,"45.64536,25.5891699",585.458252,"Bulevardul Eroilor 29, Brașov 500036, Romania"
RU MOSCOW HSE - National Research University Higher School of Economics,Russland,Asien,"Myasnitskaya Ulitsa, 20, Moskva, Russland, 101000",Partneruni,1,,"55.7615816,37.633323",167.2225647,"Myasnitskaya Ulitsa, 20, Moskva, Russia, 101000"
SFALUN01 - Högskolan Dalarna,Schweden,Europa,"Högskolegatan 2, 791 31 Falun, Schweden",Partneruni,1,,"60.61418320000001,15.6534982",152.0473938,"Dalarna University Hyttan, Högskolegatan 2, 791 31 Falun, Sweden"
SLINKOPI01 - Linköpings Universitet,Schweden,Europa,"581 83 Linköping, Schweden",Partneruni,1,,"58.41080700000001,15.6213728",52.50688934,"Linköping, Sweden"
SMIDSWED01 - MITTUNIVERSITETET,Schweden,Europa,"Holmgatan 10, 851 70 Sundsvall, Schweden",Partneruni,1,,"62.3946271,17.2842162",1.265393257,"Holmgatan 10, 852 30 Sundsvall, Sweden"
CH BERN11 - Berner Fachhochschule,Schweiz,Europa,"Falkenpl. 24, 3012 Bern, Schweiz",Partneruni,1,,"46.9512998,7.4353379",566.0662842,"Falkenpl. 24, 3012 Bern, Switzerland"
CH ST.GALL08 - HSR Hochschule für Technik Rapperswil,Schweiz,Europa,"Oberseestrasse 10, 8640 Rapperswil-Jona, Schweiz",Partneruni,1,,"47.22363180000001,8.8180845",417.2615051,"Gebäude 2, Oberseestrasse 10, 8640 Rapperswil-Jona, Switzerland"
CH LUZERN14 - Hochschule Luzern – Informatik,Schweiz,Europa,"Campus Zug, Suurstoffi 1, 6343 Rotkreuz ZG, Schweiz",Partneruni,1,,"47.1433232,8.432427299999999",430.7459412,"Campus Zug, Suurstoffi 1, 6343 Rotkreuz ZG, Switzerland"
SK BRATISL02 - UNIVERZITA KOMENSKEHO V BRATISLAVE,Slowakei,Europa,"Šafárikovo námestie 6, 814 99 Bratislava, Slowakei",Partneruni,1,,"48.1412253,17.1161423",141.0956726,"Šafárikovo námestie 6, 811 02 Staré Mesto, Slovakia"
SI MARIBOR01 - UNIVERZA V MARIBORU,Slowenien,Europa,"Slomškov trg 15, 2000 Maribor, Slowenien",Partneruni,1,,"46.5591885,15.6433073",270.8626709,"Slomškov trg 15, 2000 Maribor, Slovenia"
ES VIC01 - UNIVERSITAT DE VIC - FUNDACIO UNIVERSITARIA BALMES,Spanien,Europa,"Carrer d’en Perot Rocaguinarda, 08500 Vic, Barcelona, Spanien",Partneruni,1,,"41.9292445,2.2465271",495.6424561,"Carrer d’en Perot Rocaguinarda, 08500 Vic, Barcelona, Spain"
EZARAGOZ01 - Universidad de Zaragoza,Spanien,Europa,"Calle de Pedro Cerbuna, 12, 50009 Zaragoza, Spanien",Partneruni,1,,"41.6420642,-0.9015105999999999",225.1896362,"Calle de Pedro Cerbuna, 12, 50009 Zaragoza, Spain"
ES MADRID14 - UNIVERSIDAD CARLOS III DE MADRID,Spanien,Europa,"Calle Madrid, 126, 28903 Getafe, Madrid, Spanien",Partneruni,1,,"40.3158475,-3.7266706",632.0744019,"Calle Madrid, 126, 28903 Getafe, Madrid, Spain"
ES LAS-PAL01 - UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA,Spanien,Europa,"Calle Juan de Quesada, 30, 35001 Las Palmas de Gran Canaria, Las Palmas, Spanien",Partneruni,1,,"28.0990239,-15.41986",17.85938835,"Calle Juan de Quesada, 30, 35001 Las Palmas de Gran Canaria, Las Palmas, Spain"
ES VALLADO01 - UNIVERSIDAD DE VALLADOLID,Spanien,Europa,"C/Plaza de Santa Cruz, 8, 47002 Valladolid, Spanien",Partneruni,1,,"41.6515,-4.72013",695.4592285,"Plaza Colegio de Sta. Cruz, 8, 47002 Valladolid, Spain"
EVIGO01 - UNIVERSIDADE DE VIGO,Spanien,Europa,"Circunvalación ao Campus Universitario, 36310 Vigo, Pontevedra, Spanien",Partneruni,1,,"42.1642334,-8.6835098",381.2698975,"Circunvalación ao Campus Universitario, 36310 Vigo, Pontevedra, Spain"
ES PAMPLON02 - Universidad pública de Navarra,Spanien,Europa,"Campus de Arrosadia, s/n, 31006 Pamplona, Navarra, Spanien",Partneruni,1,,"42.8005401,-1.636785",432.2827759,"Calle Cataluña, s/n, 31006 Pamplona, Navarra, Spain"
ES VALENCI02 - UNIVERSIDAD POLITÉCNICA DE VALENCIA,Spanien,Europa,"Camí de Vera, s/n, 46022 València, Spanien",Partneruni,1,,"39.4840797,-0.3419214",4.863963127,"Camí de Vera, 46022 València, Valencia, Spain"
TWN NTUST - National Taiwan University of Science and Technology,Taiwan,Asien,"No. 43號, Section 4, Keelung Rd, Da’an District, Taipei City, Taiwan 106",Partneruni,1,,"25.0134269,121.5420342",18.44586563,"No. 43號, Section 4, Keelung Rd, Da’an District, Taipei City, Taiwan 106"
TWN NTUT - National Taipei University of Technology,Taiwan,Asien,"No. 1號, Section 3, Zhongxiao E Rd, Da’an District, Taipei City, Taiwan 106",Partneruni,1,,"25.0420752,121.5382937",11.45772076,"No. 1, Section 3, Zhongxiao E Rd, Da’an District, Taipei City, Taiwan 106"
TWN KAOHS - National Kaohsiung University of Science and Technology,Taiwan,Asien,"No. 415號, Jiangong Road, Sanmin District, Kaohsiung City, Taiwan 807",Partneruni,1,,"22.6489458,120.3283157",14.34074879,"No. 415號, Jiangong Road, Sanmin District, Kaohsiung City, Taiwan 807"
- King Mongkut's University of Technology North Bankok,Thailand,Asien,"1518​ ถนน​ประชา​ราษฎร์​1​ Wong Sawang, Bang Sue, Bangkok 10800, Thailand",Partneruni,1,,"13.8255153,100.5288111",9.034718513,"1518 ซอย ไชยประชา Khwaeng Wong Sawang, Khet Bang Sue, Krung Thep Maha Nakhon 10800, Thailand"
CZ BRNO01 - Brno University of Technology,Tschechien,Europa,"1 548 Antonínská Brno-střed Brno Česká republika, 601 90 Brno-střed, Tschechien",Partneruni,1,,"49.2015407,16.603619",226.5298767,"1, Antonínská 548/1, 602 00 Brno-střed-Veveří, Czechia"
CZ PRAHA10 - Czech Technical University,Tschechien,Europa,"Zikova 1903/4, 166 36 Praha 6, Tschechien",Partneruni,1,,"50.1013956,14.392027",219.8262024,"Zikova 1903/2, 160 00 Praha 6-Dejvice, Czechia"
CZ JIHLAVA02 - VYSOKA SKOLA POLYTECHNICKA JIHLAVA,Tschechien,Europa,"Tolstého 1556/16, 586 01 Jihlava, Tschechien",Partneruni,1,,"49.3989111,15.5824503",517.6283569,"Tolstého 1556/16, 586 01 Jihlava, Czechia"
TR ISTANBU01 - BOGAZICI ÜNIVERSITESI,Türkei,Asien,"Bebek, 34342 Beşiktaş/Istanbul, Türkei",Partneruni,1,,"41.0777437,29.0416286",31.76642227,"Bebek, 34342 Beşiktaş/İstanbul, Turkey"
TR ISTANBU10 - ISTANBUL TICARET UNIVERSITESI,Türkei,Asien,"Küçükyalı, İnönü Cd. No:4, 34854 Kadıköy/İstanbul, Türkei",Partneruni,1,,"40.979822,29.078581",57.11481094,"Sahrayı Cedit, İnönü Cd. No:4, 34734 Kadıköy/İstanbul, Turkey"
HU DEBRECE01 - Debrecen University,Ungarn,Europa,"Debrecen, Egyetem tér 1, 4032 Ungarn",Partneruni,1,,"47.55404679999999,21.6215226",132.9751282,"Debrecen, Egyetem tér 1, 4032 Hungary"
HU GYOR01 - Széchenyi István University,Ungarn,Europa,"Győr, Egyetem tér 1, 9026 Ungarn",Partneruni,1,,"47.6943519,17.6255607",114.3458099,"Győr, Egyetem tér 1, 9026 Hungary"
CY NICOSIA01 - PANEPISTIMIO KYPROU,Zypern,Europa,"Kallipoleos 75, Nicosia 1678, Zypern",Partneruni,1,,"35.1595648,33.3753658",170.1233368,"Kallipoleos 75, Nicosia, Cyprus"
